anon_id,label,split,duration_s
call_0181ce113ebe,synthetic,train,170
call_018c9d3823ac,synthetic,train,128
call_01bf49059daf,synthetic,train,216
call_01c3806808d6,synthetic,train,149
call_0294f969f98b,synthetic,val,109
call_02c249d2f89d,synthetic,train,146
call_02d28871d7b3,synthetic,train,146
call_03680846967f,synthetic,train,174
call_04d682ac0cef,human,train,185
call_05d6615469e1,synthetic,train,169
call_0615c3630150,human,train,146
call_064d8dd77899,synthetic,train,140
call_06b5a78ea12e,synthetic,train,133
call_0847d7417bb1,synthetic,val,115
call_092aef8d1243,human,train,135
call_098d8081babe,synthetic,train,147
call_099dffdf8486,synthetic,train,101
call_0a9c546208d1,human,train,117
call_0ab7d2a0c0f5,human,train,129
call_0cf2f4a71328,synthetic,val,159
call_0e101713ee94,synthetic,train,209
call_0e1e2f29bfdc,human,val,130
call_10aa0d1d33f0,human,val,136
call_10ceaf16fbbf,synthetic,train,161
call_11d3230256a1,human,train,123
call_120d6007bcc1,synthetic,val,157
call_1612f093f8b5,human,train,131
call_16581bcbc272,human,train,102
call_1761edbd6952,human,train,164
call_181a5049ecae,synthetic,val,142
call_185e958a253b,human,val,135
call_186e9d6ee732,synthetic,train,117
call_189410107163,synthetic,train,196
call_18bd3c505fd5,synthetic,train,141
call_198ef413fe4a,human,val,128
call_1a2f3635b411,synthetic,train,140
call_1ad99899456c,synthetic,train,178
call_1ba56b3cce45,synthetic,train,162
call_1bf0aa4d4324,human,train,164
call_1c1c0cce9fb5,human,val,145
call_1cc930924760,synthetic,train,118
call_1ee2936b46a7,synthetic,train,105
call_224586045e67,human,train,143
call_22d0f235a47e,human,train,205
call_22eacbc23d18,human,train,160
call_23991b635849,human,train,202
call_24e1989c4d6d,synthetic,train,155
call_253156878935,synthetic,train,138
call_26be2ced1f65,synthetic,train,210
call_2741c273bfcc,synthetic,train,191
call_290aacdf95ca,synthetic,train,134
call_29a23dea3118,synthetic,train,163
call_29e423c5b8aa,human,train,161
call_29f2b21b3d8a,synthetic,train,140
call_29fddbedd6a4,human,train,188
call_2a34be1bd407,human,train,162
call_2cd6a0b37e59,synthetic,train,115
call_2d2c74bdeb7b,human,train,150
call_2d4374d86df7,synthetic,val,172
call_30c4f6565eec,synthetic,train,128
